temp_dia_1,temp_dia_2,temp_dia_3,ropa,fecha
12,12,1,abrigada,2017-06-20
16,29,28,normal,2017-06-21
14,14,14,abrigada,2017-06-22
19,25,26,normal,2017-06-23
15,8,11,abrigada,2017-06-24
7,5,13,abrigada,2017-06-25
29,20,16,normal,2017-06-26
28,20,20,normal,2017-06-27
24,19,21,normal,2017-06-28
26,17,20,normal,2017-06-29
7,10,4,abrigada,2017-06-30
4,8,1,abrigada,2017-07-01
13,13,12,abrigada,2017-07-02
34,31,39,verano,2017-07-03
1,7,6,abrigada,2017-07-04
12,2,8,abrigada,2017-07-05
29,24,27,normal,2017-07-06
15,5,11,abrigada,2017-07-07
28,19,24,normal,2017-07-08
29,18,22,normal,2017-07-09
10,2,11,abrigada,2017-07-10
21,19,26,normal,2017-07-11
27,18,22,normal,2017-07-12
2,0,0,abrigada,2017-07-13
27,21,18,normal,2017-07-14
22,27,25,normal,2017-07-15
24,28,18,normal,2017-07-16
17,27,28,normal,2017-07-17
36,32,30,verano,2017-07-18
12,2,8,abrigada,2017-07-19
13,12,6,abrigada,2017-07-20
9,15,7,abrigada,2017-07-21
27,17,27,normal,2017-07-22
7,5,15,abrigada,2017-07-23
19,17,17,normal,2017-07-24
1,9,11,abrigada,2017-07-25
26,17,23,normal,2017-07-26
27,16,27,normal,2017-07-27
23,18,17,normal,2017-07-28
28,18,22,normal,2017-07-29
29,17,23,normal,2017-07-30
38,39,38,verano,2017-07-31
20,22,28,normal,2017-08-01
23,17,22,normal,2017-08-02
6,8,0,abrigada,2017-08-03
23,22,17,normal,2017-08-04
13,14,14,abrigada,2017-08-05
29,28,19,normal,2017-08-06
15,1,3,abrigada,2017-08-07
40,36,39,verano,2017-08-08
8,4,1,abrigada,2017-08-09
17,22,29,normal,2017-08-10
8,11,5,abrigada,2017-08-11
19,23,26,normal,2017-08-12
29,17,16,normal,2017-08-13
3,13,13,abrigada,2017-08-14
32,40,40,verano,2017-08-15
6,12,14,abrigada,2017-08-16
24,22,21,normal,2017-08-17
20,20,17,normal,2017-08-18
16,17,19,normal,2017-08-19
25,25,24,normal,2017-08-20
25,25,27,normal,2017-08-21
15,15,7,abrigada,2017-08-22
10,14,2,abrigada,2017-08-23
8,14,2,abrigada,2017-08-24
13,13,9,abrigada,2017-08-25
7,10,11,abrigada,2017-08-26
8,1,7,abrigada,2017-08-27
19,23,22,normal,2017-08-28
6,8,0,abrigada,2017-08-29
32,36,33,verano,2017-08-30
11,1,10,abrigada,2017-08-31
25,25,23,normal,2017-09-01
4,10,9,abrigada,2017-09-02
0,3,10,abrigada,2017-09-03
28,20,26,normal,2017-09-04
9,11,3,abrigada,2017-09-05
25,16,26,normal,2017-09-06
30,30,39,verano,2017-09-07
15,12,14,abrigada,2017-09-08
34,40,39,verano,2017-09-09
30,38,33,verano,2017-09-10
14,13,5,abrigada,2017-09-11
9,2,11,abrigada,2017-09-12
12,1,3,abrigada,2017-09-13
18,20,23,normal,2017-09-14
36,39,34,verano,2017-09-15
12,3,13,abrigada,2017-09-16
1,12,1,abrigada,2017-09-17
27,25,21,normal,2017-09-18
10,6,1,abrigada,2017-09-19
21,19,24,normal,2017-09-20
26,29,26,normal,2017-09-21
5,2,9,abrigada,2017-09-22
7,4,14,abrigada,2017-09-23
15,0,15,abrigada,2017-09-24
10,7,7,abrigada,2017-09-25
2,5,5,abrigada,2017-09-26
12,9,10,abrigada,2017-09-27
25,20,16,normal,2017-09-28
6,13,11,abrigada,2017-09-29
15,10,13,abrigada,2017-09-30
12,3,13,abrigada,2017-10-01
6,5,2,abrigada,2017-10-02
10,14,7,abrigada,2017-10-03
18,22,26,normal,2017-10-04
26,18,28,normal,2017-10-05
38,40,32,verano,2017-10-06
11,7,4,abrigada,2017-10-07
23,17,26,normal,2017-10-08
8,14,1,abrigada,2017-10-09
33,34,37,verano,2017-10-10
8,11,4,abrigada,2017-10-11
3,4,0,abrigada,2017-10-12
26,27,28,normal,2017-10-13
37,30,39,verano,2017-10-14
20,28,19,normal,2017-10-15
17,28,22,normal,2017-10-16
24,20,16,normal,2017-10-17
28,19,29,normal,2017-10-18
16,18,26,normal,2017-10-19
3,9,9,abrigada,2017-10-20
23,26,19,normal,2017-10-21
23,26,24,normal,2017-10-22
21,18,29,normal,2017-10-23
30,38,35,verano,2017-10-24
29,22,18,normal,2017-10-25
1,1,14,abrigada,2017-10-26
22,28,16,normal,2017-10-27
17,27,23,normal,2017-10-28
7,7,3,abrigada,2017-10-29
10,1,11,abrigada,2017-10-30
5,12,0,abrigada,2017-10-31
10,11,9,abrigada,2017-11-01
3,15,6,abrigada,2017-11-02
34,33,37,verano,2017-11-03
39,32,30,verano,2017-11-04
33,35,36,verano,2017-11-05
11,9,6,abrigada,2017-11-06
16,20,18,normal,2017-11-07
26,16,28,normal,2017-11-08
16,21,24,normal,2017-11-09
17,21,26,normal,2017-11-10
35,30,32,verano,2017-11-11
19,22,20,normal,2017-11-12
21,19,17,normal,2017-11-13
31,31,31,verano,2017-11-14
6,15,4,abrigada,2017-11-15
16,25,21,normal,2017-11-16
29,19,17,normal,2017-11-17
30,33,40,verano,2017-11-18
39,37,36,verano,2017-11-19
33,32,33,verano,2017-11-20
0,12,0,abrigada,2017-11-21
4,15,14,abrigada,2017-11-22
31,34,30,verano,2017-11-23
11,0,7,abrigada,2017-11-24
12,14,7,abrigada,2017-11-25
19,20,17,normal,2017-11-26
3,5,13,abrigada,2017-11-27
21,24,18,normal,2017-11-28
29,24,18,normal,2017-11-29
26,20,19,normal,2017-11-30
3,10,12,abrigada,2017-12-01
8,3,11,abrigada,2017-12-02
27,18,23,normal,2017-12-03
16,23,29,normal,2017-12-04
12,15,1,abrigada,2017-12-05
15,13,15,abrigada,2017-12-06
1,13,0,abrigada,2017-12-07
14,12,1,abrigada,2017-12-08
18,23,23,normal,2017-12-09
23,25,29,normal,2017-12-10
6,8,12,abrigada,2017-12-11
25,17,27,normal,2017-12-12
20,26,18,normal,2017-12-13
23,25,27,normal,2017-12-14
27,23,28,normal,2017-12-15
10,10,5,abrigada,2017-12-16
0,5,12,abrigada,2017-12-17
16,29,20,normal,2017-12-18
12,0,0,abrigada,2017-12-19
32,36,40,verano,2017-12-20
16,24,27,normal,2017-12-21
31,31,40,verano,2017-12-22
15,6,3,abrigada,2017-12-23
34,40,37,verano,2017-12-24
25,21,27,normal,2017-12-25
12,10,15,abrigada,2017-12-26
15,1,7,abrigada,2017-12-27
21,17,22,normal,2017-12-28
3,11,0,abrigada,2017-12-29
20,18,20,normal,2017-12-30
13,13,15,abrigada,2017-12-31
32,33,32,verano,2018-01-01
4,2,6,abrigada,2018-01-02
23,21,22,normal,2018-01-03
25,22,17,normal,2018-01-04
12,1,6,abrigada,2018-01-05
20,18,24,normal,2018-01-06
18,20,21,normal,2018-01-07
8,8,8,abrigada,2018-01-08
0,11,5,abrigada,2018-01-09
12,7,4,abrigada,2018-01-10
2,4,13,abrigada,2018-01-11
29,22,26,normal,2018-01-12
12,7,0,abrigada,2018-01-13
10,7,8,abrigada,2018-01-14
25,18,27,normal,2018-01-15
7,12,6,abrigada,2018-01-16
1,5,7,abrigada,2018-01-17
29,17,26,normal,2018-01-18
32,38,31,verano,2018-01-19
1,12,15,abrigada,2018-01-20
6,7,6,abrigada,2018-01-21
24,22,27,normal,2018-01-22
2,14,0,abrigada,2018-01-23
5,14,15,abrigada,2018-01-24
28,29,28,normal,2018-01-25
25,18,25,normal,2018-01-26
19,24,29,normal,2018-01-27
16,25,22,normal,2018-01-28
13,3,12,abrigada,2018-01-29
40,33,36,verano,2018-01-30
28,24,20,normal,2018-01-31
32,36,30,verano,2018-02-01
7,3,4,abrigada,2018-02-02
24,21,27,normal,2018-02-03
35,32,30,verano,2018-02-04
5,9,15,abrigada,2018-02-05
24,17,22,normal,2018-02-06
4,3,8,abrigada,2018-02-07
28,21,26,normal,2018-02-08
9,15,9,abrigada,2018-02-09
5,4,5,abrigada,2018-02-10
27,17,25,normal,2018-02-11
20,23,24,normal,2018-02-12
16,19,25,normal,2018-02-13
14,4,2,abrigada,2018-02-14
36,36,36,verano,2018-02-15
27,29,17,normal,2018-02-16
6,13,10,abrigada,2018-02-17
11,12,11,abrigada,2018-02-18
24,26,26,normal,2018-02-19
4,13,3,abrigada,2018-02-20
16,20,25,normal,2018-02-21
13,15,8,abrigada,2018-02-22
27,21,27,normal,2018-02-23
35,37,39,verano,2018-02-24
0,12,10,abrigada,2018-02-25
7,13,0,abrigada,2018-02-26
29,25,21,normal,2018-02-27
21,23,16,normal,2018-02-28
14,4,12,abrigada,2018-03-01
14,13,15,abrigada,2018-03-02
8,6,3,abrigada,2018-03-03
4,4,10,abrigada,2018-03-04
25,17,18,normal,2018-03-05
33,40,40,verano,2018-03-06
4,14,2,abrigada,2018-03-07
25,26,28,normal,2018-03-08
18,21,28,normal,2018-03-09
32,37,34,verano,2018-03-10
15,9,1,abrigada,2018-03-11
22,17,18,normal,2018-03-12
3,1,2,abrigada,2018-03-13
16,27,18,normal,2018-03-14
12,12,10,abrigada,2018-03-15
33,32,39,verano,2018-03-16
33,33,34,verano,2018-03-17
8,6,13,abrigada,2018-03-18
2,4,2,abrigada,2018-03-19
20,29,27,normal,2018-03-20
40,39,33,verano,2018-03-21
15,6,15,abrigada,2018-03-22
28,23,21,normal,2018-03-23
28,22,17,normal,2018-03-24
1,12,3,abrigada,2018-03-25
39,32,33,verano,2018-03-26
18,27,22,normal,2018-03-27
25,25,18,normal,2018-03-28
11,9,0,abrigada,2018-03-29
20,21,17,normal,2018-03-30
1,8,2,abrigada,2018-03-31
25,20,29,normal,2018-04-01
5,1,12,abrigada,2018-04-02
20,23,17,normal,2018-04-03
30,34,38,verano,2018-04-04
0,5,4,abrigada,2018-04-05
28,26,17,normal,2018-04-06
30,40,36,verano,2018-04-07
3,10,4,abrigada,2018-04-08
14,7,12,abrigada,2018-04-09
2,0,8,abrigada,2018-04-10
13,2,2,abrigada,2018-04-11
11,4,9,abrigada,2018-04-12
11,10,5,abrigada,2018-04-13
19,27,22,normal,2018-04-14
21,27,20,normal,2018-04-15
18,26,24,normal,2018-04-16
9,14,15,abrigada,2018-04-17
4,4,13,abrigada,2018-04-18
6,15,13,abrigada,2018-04-19
35,37,36,verano,2018-04-20
14,4,5,abrigada,2018-04-21
35,32,35,verano,2018-04-22
36,37,31,verano,2018-04-23
26,17,26,normal,2018-04-24
5,6,13,abrigada,2018-04-25
23,23,18,normal,2018-04-26
11,7,14,abrigada,2018-04-27
6,7,15,abrigada,2018-04-28
2,9,6,abrigada,2018-04-29
22,26,21,normal,2018-04-30
23,22,18,normal,2018-05-01
24,20,20,normal,2018-05-02
0,3,3,abrigada,2018-05-03
15,6,0,abrigada,2018-05-04
14,6,13,abrigada,2018-05-05
17,16,16,normal,2018-05-06
22,21,25,normal,2018-05-07
20,29,26,normal,2018-05-08
0,14,0,abrigada,2018-05-09
10,1,0,abrigada,2018-05-10
17,16,29,normal,2018-05-11
15,5,2,abrigada,2018-05-12
17,23,26,normal,2018-05-13
12,11,8,abrigada,2018-05-14
33,38,40,verano,2018-05-15
4,14,3,abrigada,2018-05-16
9,2,4,abrigada,2018-05-17
23,23,16,normal,2018-05-18
11,9,14,abrigada,2018-05-19
2,1,5,abrigada,2018-05-20
28,18,18,normal,2018-05-21
25,21,20,normal,2018-05-22
25,25,17,normal,2018-05-23
8,2,7,abrigada,2018-05-24
8,8,8,abrigada,2018-05-25
1,10,10,abrigada,2018-05-26
0,13,8,abrigada,2018-05-27
6,12,3,abrigada,2018-05-28
18,28,17,normal,2018-05-29
15,0,1,abrigada,2018-05-30
11,6,14,abrigada,2018-05-31
1,7,5,abrigada,2018-06-01
36,36,32,verano,2018-06-02
38,40,36,verano,2018-06-03
22,24,27,normal,2018-06-04
39,33,37,verano,2018-06-05
26,27,17,normal,2018-06-06
15,15,12,abrigada,2018-06-07
40,30,35,verano,2018-06-08
32,32,38,verano,2018-06-09
17,22,22,normal,2018-06-10
25,19,27,normal,2018-06-11
18,17,26,normal,2018-06-12
5,9,1,abrigada,2018-06-13
4,10,9,abrigada,2018-06-14
38,31,35,verano,2018-06-15
3,15,12,abrigada,2018-06-16
14,12,15,abrigada,2018-06-17
38,35,33,verano,2018-06-18
13,5,13,abrigada,2018-06-19
16,17,19,normal,2018-06-20
19,21,22,normal,2018-06-21
18,29,22,normal,2018-06-22
14,13,1,abrigada,2018-06-23
40,35,40,verano,2018-06-24
12,7,4,abrigada,2018-06-25
0,1,7,abrigada,2018-06-26
8,8,12,abrigada,2018-06-27
14,6,10,abrigada,2018-06-28
39,37,39,verano,2018-06-29
26,18,22,normal,2018-06-30
7,6,1,abrigada,2018-07-01
0,10,5,abrigada,2018-07-02
29,27,26,normal,2018-07-03
25,26,20,normal,2018-07-04
16,25,19,normal,2018-07-05
12,11,1,abrigada,2018-07-06
27,27,21,normal,2018-07-07
13,13,15,abrigada,2018-07-08
1,3,0,abrigada,2018-07-09
39,37,37,verano,2018-07-10
34,39,32,verano,2018-07-11
31,32,37,verano,2018-07-12
17,22,21,normal,2018-07-13
27,25,22,normal,2018-07-14
37,34,35,verano,2018-07-15
3,4,3,abrigada,2018-07-16
24,21,17,normal,2018-07-17
25,16,27,normal,2018-07-18
18,26,18,normal,2018-07-19
20,29,17,normal,2018-07-20
26,29,20,normal,2018-07-21
18,22,26,normal,2018-07-22
34,30,30,verano,2018-07-23
8,8,14,abrigada,2018-07-24
7,8,1,abrigada,2018-07-25
37,34,38,verano,2018-07-26
8,0,12,abrigada,2018-07-27
28,18,26,normal,2018-07-28
27,23,27,normal,2018-07-29
15,4,1,abrigada,2018-07-30
30,40,35,verano,2018-07-31
21,17,21,normal,2018-08-01
25,25,25,normal,2018-08-02
8,6,9,abrigada,2018-08-03
23,28,16,normal,2018-08-04
27,27,24,normal,2018-08-05
38,33,34,verano,2018-08-06
6,8,15,abrigada,2018-08-07
25,18,20,normal,2018-08-08
14,14,15,abrigada,2018-08-09
8,10,10,abrigada,2018-08-10
31,34,30,verano,2018-08-11
8,6,13,abrigada,2018-08-12
29,21,19,normal,2018-08-13
15,6,6,abrigada,2018-08-14
10,12,13,abrigada,2018-08-15
13,14,15,abrigada,2018-08-16
32,37,34,verano,2018-08-17
1,2,10,abrigada,2018-08-18
31,31,37,verano,2018-08-19
16,21,18,normal,2018-08-20
18,27,16,normal,2018-08-21
24,19,28,normal,2018-08-22
1,3,0,abrigada,2018-08-23
29,19,26,normal,2018-08-24
37,40,33,verano,2018-08-25
38,40,36,verano,2018-08-26
14,2,14,abrigada,2018-08-27
3,13,15,abrigada,2018-08-28
2,4,11,abrigada,2018-08-29
8,0,11,abrigada,2018-08-30
13,5,0,abrigada,2018-08-31
2,5,5,abrigada,2018-09-01
31,33,40,verano,2018-09-02
14,4,10,abrigada,2018-09-03
14,14,0,abrigada,2018-09-04
23,17,19,normal,2018-09-05
2,4,8,abrigada,2018-09-06
27,18,27,normal,2018-09-07
37,39,31,verano,2018-09-08
1,3,13,abrigada,2018-09-09
30,36,40,verano,2018-09-10
40,33,33,verano,2018-09-11
34,37,32,verano,2018-09-12
17,21,18,normal,2018-09-13
21,22,22,normal,2018-09-14
12,9,15,abrigada,2018-09-15
5,10,2,abrigada,2018-09-16
29,19,28,normal,2018-09-17
28,22,20,normal,2018-09-18
23,25,24,normal,2018-09-19
13,8,14,abrigada,2018-09-20
2,0,14,abrigada,2018-09-21
27,29,25,normal,2018-09-22
7,14,4,abrigada,2018-09-23
7,15,10,abrigada,2018-09-24
5,0,11,abrigada,2018-09-25
29,19,20,normal,2018-09-26
22,26,29,normal,2018-09-27
33,35,34,verano,2018-09-28
19,20,20,normal,2018-09-29
17,20,18,normal,2018-09-30
5,1,8,abrigada,2018-10-01
4,15,14,abrigada,2018-10-02
16,16,27,normal,2018-10-03
30,35,37,verano,2018-10-04
22,29,17,normal,2018-10-05
6,4,0,abrigada,2018-10-06
29,25,19,normal,2018-10-07
3,6,8,abrigada,2018-10-08
3,4,9,abrigada,2018-10-09
5,8,4,abrigada,2018-10-10
19,28,20,normal,2018-10-11
4,8,6,abrigada,2018-10-12
21,24,27,normal,2018-10-13
4,0,14,abrigada,2018-10-14
10,5,2,abrigada,2018-10-15
31,38,31,verano,2018-10-16
7,1,14,abrigada,2018-10-17
9,13,10,abrigada,2018-10-18
8,4,9,abrigada,2018-10-19
12,15,15,abrigada,2018-10-20
37,37,38,verano,2018-10-21
4,6,5,abrigada,2018-10-22
2,8,9,abrigada,2018-10-23
15,13,15,abrigada,2018-10-24
2,0,0,abrigada,2018-10-25
21,25,25,normal,2018-10-26
16,26,17,normal,2018-10-27
22,17,28,normal,2018-10-28
32,32,31,verano,2018-10-29
11,8,10,abrigada,2018-10-30
8,7,14,abrigada,2018-10-31
40,40,39,verano,2018-11-01
1,11,3,abrigada,2018-11-02
24,29,28,normal,2018-11-03
24,19,24,normal,2018-11-04
4,1,15,abrigada,2018-11-05
13,7,7,abrigada,2018-11-06
34,35,35,verano,2018-11-07
1,3,7,abrigada,2018-11-08
20,23,17,normal,2018-11-09
15,10,7,abrigada,2018-11-10
13,6,9,abrigada,2018-11-11
1,1,14,abrigada,2018-11-12
6,5,3,abrigada,2018-11-13
11,0,6,abrigada,2018-11-14
20,25,20,normal,2018-11-15
5,4,6,abrigada,2018-11-16
4,14,5,abrigada,2018-11-17
14,7,0,abrigada,2018-11-18
26,16,17,normal,2018-11-19
21,25,26,normal,2018-11-20
20,28,20,normal,2018-11-21
23,18,16,normal,2018-11-22
13,14,9,abrigada,2018-11-23
8,9,9,abrigada,2018-11-24
23,19,26,normal,2018-11-25
23,16,24,normal,2018-11-26
0,9,0,abrigada,2018-11-27
11,0,14,abrigada,2018-11-28
21,25,18,normal,2018-11-29
25,20,17,normal,2018-11-30
14,14,5,abrigada,2018-12-01
28,20,16,normal,2018-12-02
12,0,13,abrigada,2018-12-03
0,9,12,abrigada,2018-12-04
22,20,25,normal,2018-12-05
12,4,13,abrigada,2018-12-06
13,10,8,abrigada,2018-12-07
19,25,26,normal,2018-12-08
11,9,5,abrigada,2018-12-09
5,1,14,abrigada,2018-12-10
9,9,8,abrigada,2018-12-11
27,23,18,normal,2018-12-12
23,16,28,normal,2018-12-13
29,29,17,normal,2018-12-14
13,13,7,abrigada,2018-12-15
20,20,20,normal,2018-12-16
7,14,6,abrigada,2018-12-17
39,38,40,verano,2018-12-18
9,11,14,abrigada,2018-12-19
11,4,1,abrigada,2018-12-20
20,23,16,normal,2018-12-21
1,2,7,abrigada,2018-12-22
13,2,0,abrigada,2018-12-23
29,18,18,normal,2018-12-24
26,19,20,normal,2018-12-25
22,29,24,normal,2018-12-26
38,35,35,verano,2018-12-27
17,20,21,normal,2018-12-28
19,24,20,normal,2018-12-29
7,8,2,abrigada,2018-12-30
14,5,14,abrigada,2018-12-31
28,28,22,normal,2019-01-01
3,13,9,abrigada,2019-01-02
13,6,6,abrigada,2019-01-03
8,2,13,abrigada,2019-01-04
16,21,25,normal,2019-01-05
31,35,35,verano,2019-01-06
6,12,3,abrigada,2019-01-07
2,11,0,abrigada,2019-01-08
7,2,1,abrigada,2019-01-09
39,34,33,verano,2019-01-10
4,11,12,abrigada,2019-01-11
28,26,24,normal,2019-01-12
23,28,28,normal,2019-01-13
37,31,30,verano,2019-01-14
38,33,39,verano,2019-01-15
7,6,15,abrigada,2019-01-16
19,24,25,normal,2019-01-17
7,13,0,abrigada,2019-01-18
2,3,4,abrigada,2019-01-19
7,11,2,abrigada,2019-01-20
23,25,29,normal,2019-01-21
27,25,22,normal,2019-01-22
2,14,3,abrigada,2019-01-23
20,24,16,normal,2019-01-24
20,23,16,normal,2019-01-25
18,17,19,normal,2019-01-26
23,23,18,normal,2019-01-27
27,23,16,normal,2019-01-28
11,12,7,abrigada,2019-01-29
1,13,12,abrigada,2019-01-30
1,3,11,abrigada,2019-01-31
9,2,3,abrigada,2019-02-01
30,34,36,verano,2019-02-02
16,21,16,normal,2019-02-03
11,3,12,abrigada,2019-02-04
14,11,5,abrigada,2019-02-05
6,3,12,abrigada,2019-02-06
11,5,9,abrigada,2019-02-07
12,11,6,abrigada,2019-02-08
12,6,8,abrigada,2019-02-09
0,4,2,abrigada,2019-02-10
26,21,17,normal,2019-02-11
15,1,12,abrigada,2019-02-12
15,7,7,abrigada,2019-02-13
2,5,13,abrigada,2019-02-14
37,32,37,verano,2019-02-15
31,34,30,verano,2019-02-16
31,36,31,verano,2019-02-17
36,38,37,verano,2019-02-18
9,6,8,abrigada,2019-02-19
25,20,22,normal,2019-02-20
1,4,8,abrigada,2019-02-21
19,17,21,normal,2019-02-22
34,36,40,verano,2019-02-23
37,39,33,verano,2019-02-24
25,18,29,normal,2019-02-25
6,6,7,abrigada,2019-02-26
12,2,12,abrigada,2019-02-27
10,12,0,abrigada,2019-02-28
5,0,15,abrigada,2019-03-01
26,17,17,normal,2019-03-02
28,23,29,normal,2019-03-03
39,34,32,verano,2019-03-04
11,12,7,abrigada,2019-03-05
40,31,37,verano,2019-03-06
0,15,1,abrigada,2019-03-07
9,13,13,abrigada,2019-03-08
11,2,4,abrigada,2019-03-09
7,11,9,abrigada,2019-03-10
28,24,22,normal,2019-03-11
6,4,7,abrigada,2019-03-12
3,5,15,abrigada,2019-03-13
8,9,6,abrigada,2019-03-14
27,24,27,normal,2019-03-15
36,32,40,verano,2019-03-16
2,1,2,abrigada,2019-03-17
20,25,27,normal,2019-03-18
38,32,39,verano,2019-03-19
18,28,19,normal,2019-03-20
3,3,8,abrigada,2019-03-21
11,9,1,abrigada,2019-03-22
21,28,24,normal,2019-03-23
13,13,1,abrigada,2019-03-24
3,14,0,abrigada,2019-03-25
4,4,5,abrigada,2019-03-26
21,20,29,normal,2019-03-27
23,27,21,normal,2019-03-28
4,8,4,abrigada,2019-03-29
1,0,6,abrigada,2019-03-30
7,3,15,abrigada,2019-03-31
2,6,1,abrigada,2019-04-01
20,27,17,normal,2019-04-02
